Category,Count,Theme,NPC Giver,Glyph,Location,Storyline
Collapse,12,"Loss, grief, betrayal",Sanor - Silent Elder,Glyph of Silent Ache,Abandoned Shelter,Sanor hasn’t spoken since collapse; silence reveals the ache of words that will never be said.
Ache,13,"Loss, grief, betrayal",Mariel the Weaver,Glyph of Repairing Loss,Community Weaving Workshop,Mariel weaves salvaged threads into memorial cloth. Grief becomes care when shared.
Ache,14,"Loss, grief, betrayal",Thoran - Market Artisan,Glyph of Honest Expression,Market Stall,"The player commissions a mask showing their true ache and wears it publicly, choosing honesty over performance."
Sovereignty,15,"Boundaries, choice, clarity",Dakrin - Safety Overseer,Glyph of Emotional Pause,Testing Grounds,Dakrin teaches interruption: the ability to pause before acting on anger or despair.
Sovereignty,16,"Boundaries, choice, clarity",Coren the Mediator,Glyph of Held Ache,Market Concourse,The player mediates conflict by acknowledging pain without forcing resolution.
Sovereignty,17,"Boundaries, choice, clarity",Archivist Malrik,Glyph of Measured Step,Archive Interior,Malrik teaches disciplined movement through unstable chambers; discipline protects but can isolate.
Sovereignty,18,"Boundaries, choice, clarity",Archivist Malrik,Glyph of Boundary Stone,Archive Entrance,"The player helps mark preservation zones, learning the cost of rigid boundaries."
Sovereignty,19,"Boundaries, choice, clarity",Tovren the Cartwright,Glyph of Marked Boundaries,Collapsing Trade Route,The player marks unstable paths with chalk; clarity protects travelers.
Sovereignty,20,"Boundaries, choice, clarity",Dalen the Rusted Guide,Glyph of Reckless Trial,Desert Grounds,Dalen insists sovereignty is earned through risk.
Sovereignty,21,"Boundaries, choice, clarity",Captain Veynar,Glyph of Iron Boundary,Testing Grounds,Veynar teaches that boundaries enforced through vigilance maintain stability.
Sovereignty,22,"Boundaries, choice, clarity",Kaelen the Suspected Thief,Glyph of Hidden Passage,Thieves Lair,Kaelen reveals secret routes; sovereignty manifests as choice.
Sovereignty,23,"Boundaries, choice, clarity",Drossel the Cloaked,Glyph of Masked Boundary,Market Shadows,Boundaries can conceal as much as they reveal.
Sovereignty,24,"Boundaries, choice, clarity",Drossel the Cloaked,Glyph of Venomous Choice,Swamp Grounds,The player faces a poisoned choice: betray Kaelen or protect him.
Presence,25,"Touch, silence, witness",Nima,Glyph of Remembrance,Market Overlook,The shrine hums with aching resonance; memories flood the player.
Presence,26,"Touch, silence, witness",Sera the Herb Novice,Glyph of Fragrant Silence,Herb Alcove,Quiet healing emerges through subtle fragrance.
Presence,27,"Touch, silence, witness",Korrin the Gossip,Glyph of Listening Silence,Informant’s Alcove,Silence becomes discernment; listening reveals truth beneath noise.
Presence,28,"Touch, silence, witness",Inodora - Story Teller,Glyph of Steadfast Witness,Old Well,Presence anchors fear when the player stays through the night.
Joy,29,"Play, reunion, creative spark",Sera the Herb Novice,Glyph of Verdant Reunion,Garden Annex,Herbs bloom only when tended together; joy emerges through shared care.
Joy,30,"Play, reunion, creative spark",Sera the Herb Novice,Glyph of Dawn Petals,Garden Annex,Blossoms open at dawn; joy is fleeting and must be appreciated.
Joy,31,"Play, reunion, creative spark",Sera the Herb Novice,Glyph of Laughter's Balm,Market Courtyard,Herbal tea lightens sorrow; shared laughter emerges.
Joy,32,"Play, reunion, creative spark",Tala - Market Cook,Glyph of Shared Feast,Community Cooking Fire,Cooking together becomes a communal act of reunion.
Joy,33,"Play, reunion, creative spark",Rasha - Ferry Operator,Glyph of Arrival,Harbor Dock,Arrival after danger brings relief and joy.
Joy,34,"Play, reunion, creative spark",Lira - Skilled Boatmaker,Glyph of Crafted Wonder,Boatwright’s Workshop,Launching a new boat reveals joy born from repaired materials.
Joy,35,"Play, reunion, creative spark",Juria & Korinth,Glyph of Trade Celebration,Harbor Market,Joy emerges even in transactional exchange.
Trust,36,"Community, restoration, interdependence",Elenya - Community Coordinator,Glyph of Shared Survival,Ridge Shelter,The player participates in a coordinated survival effort.
Trust,37,"Community, restoration, interdependence",Tovren the Cartwright,Glyph of Shared Burden,Merchant Caravan,Survival depends on bearing weight together.
Trust,38,"Community, restoration, interdependence",Mariel the Weaver,Glyph of Binding Cloth,Community Alcove,Threads bind lives together through shared weaving.
Trust,39,"Community, restoration, interdependence",Captain Veynar,Glyph of Weary Justice,Market Concourse,Justice requires vigilance even when weary.
Trust,40,"Community, restoration, interdependence",Kaelen,Glyph of Thieves' Honor,Swamp Dock,Kaelen demonstrates loyalty independent of reciprocity.
Trust,41,"Community, restoration, interdependence",Korrin,Glyph of Whispered Pact,Market Alcove,Secrets bind merchants; restraint builds trust.
Trust,42,"Community, restoration, interdependence",Korrin,Glyph of Broken Promise,Merchant Alcove,Promises break easily; trust is fragile.
Trust,43,"Community, restoration, interdependence",Rasha,Glyph of Mutual Passage,Harbor Dock,Wordless coordination reveals earned interdependence.
Collapse,44,"Memory distortion, fear, the fracture",Coren,Glyph of Preemptive Severance,Mountain Encampment,Cutting ties first becomes a defensive logic born of trauma.
Collapse,45,"Memory distortion, fear, the fracture",Malrik,Glyph of Fractured Memory,Archive Ruins,Corrupted emotional data reveals institutional failure.
Collapse,46,"Memory distortion, fear, the fracture",Malrik,Glyph of Mirage Echo,Desert Heat,False signals create uncertainty; survival requires accepting the unknown.
Collapse,47,"Memory distortion, fear, the fracture",Dalen,Glyph of Shattered Corridor,Unstable Ruins,Collapse fractures memory through reckless survival.
Collapse,48,"Memory distortion, fear, the fracture",Veynar,Glyph of Fractured Oath,Guard Barracks,Promises dissolve under collapse; authority erodes.
Collapse,49,"Memory distortion, fear, the fracture",Kaelen,Glyph of Stolen Memory,Market Ruins,Memory rewritten poisons belonging.
Collapse,50,"Memory distortion, fear, the fracture",Drossel,Glyph of Hollow Pact,Market Shadows,A pact without trust collapses into emptiness.
Collapse,51,"Memory distortion, fear, the fracture",Drossel,Glyph of Cloaked Fracture,Thieves Lair,Paths shift unpredictably under manipulation.
Collapse,52,"Memory distortion, fear, the fracture",Korrin,Glyph of Fractured Rumor,Market Square,Rumors distort truth until community unravels.
Collapse,53,"Memory distortion, fear, the fracture",Orvak,Glyph of Quiet Collapse,Collapsed Watchtower,Small routines of survival reveal slow erosion.
Trust,54,"Community, restoration, interdependence",Kaelen,Glyph of Apprehension,Swamp Dock,Trust and fear coexist; the player must choose alignment.
Presence,55,"Touch, silence, witness",Saori,Glyph of Dormant Potential,Hidden Console,Pressing the cracked console reveals latent memory potential.
Ache,56,"Loss, grief, betrayal",Saori,Glyph of Mirrored Loss,Mirror Chamber,The player discerns Saori’s real expression among distortions.
Joy,57,"Longing, creative spark, quiet intimacy",Sera & Korrin,Glyph of Shared Dawn,Market Courtyard,A quiet moment reveals unexpected connection.
Ache,58,"Loss, grief, betrayal",Saori,Glyph of Sensory Oblivion,Chamber of Delayed Echoes,Abandonment subtly sensed but unclear.
Ache,59,"Loss, grief, betrayal",Tessa,Glyph of Primal Oblivion,Desert Outskirts,Raw abandonment fully felt.
Sovereignty,60,"Boundaries, choice, clarity",Dakrin,Glyph of Interruptive Restraint,Testing Grounds,The impulse is held; the ache acknowledged but not acted upon.
Legacy,61,"Family, ancestry, ritual inheritance",Inodora,Glyph of Hopeful Transmission,Community Fire Circle,The ache becomes bridge; connection restored through shared memory.
Trust,62,"Community, restoration, interdependence",Elenya,Glyph of Shared Survival,Ridge Shelter,The player participates in a coordinated survival effort.
Legacy,63,"Family, ancestry, ritual inheritance",Elenya,Glyph of Communal Archive,Shared Archive Building,The player helps decide which records to preserve first.
Trust,64,"Community, restoration, interdependence",Elenya,Glyph of Coordinated Memory,Archive Annex,The player helps structure collapse memories into a coherent timeline.
Presence,65,"Touch, silence, witness",Elenya,Glyph of Community Witness,Market Concourse,The player stands with survivors during a difficult announcement.
Legacy,66,"Family, ancestry, ritual inheritance",Elenya,Glyph of Rebuild Protocol,Archive Reconstruction Site,The player helps finalize the first community rebuild protocol.
