Category,Count,Theme,NPC Giver,Glyph,Location,Storyline
Transcendence,11,"Unity, transformation, resolution","Mariel the Weaver (secondary quest), Drossel the Cloaked, Tovren the Cartwright",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #11,"Fusion of Glyph of Worn Cloth, Glyph of Serpent?s Silence, and Glyph of Shared Burden. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Touch, silence, witness; Community, restoration, interdependence. NPCs involved: Mariel the Weaver (secondary quest), Drossel the Cloaked, Tovren the Cartwright."
Transcendence,12,"Unity, transformation, resolution","Ravi, Nima, Saori, Tovren the Cartwright",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #12,"Fusion of Glyph of Legacy, Glyph of Infrasensory Oblivion, and Glyph of Marked Boundaries. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Loss, grief, betrayal; Boundaries, choice, clarity. NPCs involved: Ravi, Nima, Saori, Tovren the Cartwright."
Transcendence,13,"Unity, transformation, resolution","Archivist Malrik, High Seer Elenya, Kaelen the Suspected Thief",Triglyph of Glyph / Glyph / Glyth,Procedural Triglyph Chamber #13,"Fusion of Glyph of Boundary Stone, Glyph of Sky Revelry, and Glyth of Thieves' Honor. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Boundaries, choice, clarity; Play, reunion, creative spark; Community, restoration, interdependence. NPCs involved: Archivist Malrik, High Seer Elenya, Kaelen the Suspected Thief."
Transcendence,14,"Unity, transformation, resolution","Shrine Healer, Sera the Herb Novice, Captain Veynar",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #14,"Fusion of Glyph of Tender Witness, Glyph of Verdant Reunion, and Glyph of Fractured Oath. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Touch, silence, witness; Play, reunion, creative spark; Memory distortion, fear, the fracture. NPCs involved: Shrine Healer, Sera the Herb Novice, Captain Veynar."
Transcendence,15,"Unity, transformation, resolution","Shrine Elder, Drossel the Cloaked, Captain Veynar",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #15,"Fusion of Glyph of Emotional Inheritance, Glyph of Venomous Choice, and Glyph of Fractured Oath. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Boundaries, choice, clarity; Memory distortion, fear, the fracture. NPCs involved: Shrine Elder, Drossel the Cloaked, Captain Veynar."
Transcendence,16,"Unity, transformation, resolution","Sera the Herb Novice, Dock Worker, Korrin the Gossip",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #16,"Fusion of Glyph of Fragrant Silence, Glyph of Arrival, and Glyph of Whispered Pact. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Touch, silence, witness; Play, reunion, creative spark; Community, restoration, interdependence. NPCs involved: Sera the Herb Novice, Dock Worker, Korrin the Gossip."
Transcendence,17,"Unity, transformation, resolution","Mask-Maker, Dalen the Rusted Guide, Ferry Operator & Dock Worker",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #17,"Fusion of Glyph of Hidden Ache, Glyph of Reckless Trial, and Glyph of Mutual Passage. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Loss, grief, betrayal; Boundaries, choice, clarity; Community, restoration, interdependence. NPCs involved: Mask-Maker, Dalen the Rusted Guide, Ferry Operator & Dock Worker."
Transcendence,18,"Unity, transformation, resolution","Ravi, Nima, Forest Loner Camper, High Seer Elenya",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #18,"Fusion of Glyph of Legacy, Glyph of Hidden Warmth, and Glyph of Shared Survival. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Play, reunion, creative spark; Community, restoration, interdependence. NPCs involved: Ravi, Nima, Forest Loner Camper, High Seer Elenya."
Transcendence,19,"Unity, transformation, resolution","Skilled Boatmaker, Captain Veynar, Ruined Watcher",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #19,"Fusion of Glyph of Crafted Wonder, Glyph of Weary Justice, and Glyph of Quiet Collapse. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Play, reunion, creative spark; Community, restoration, interdependence; Memory distortion, fear, the fracture. NPCs involved: Skilled Boatmaker, Captain Veynar, Ruined Watcher."
Transcendence,20,"Unity, transformation, resolution","Nima, Drossel the Cloaked, High Seer Elenya",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #20,"Fusion of Glyph of Sorrow, Glyph of Serpent?s Silence, and Glyph of Blooming Path. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Loss, grief, betrayal; Touch, silence, witness; Play, reunion, creative spark. NPCs involved: Nima, Drossel the Cloaked, High Seer Elenya."
Transcendence,21,"Unity, transformation, resolution","Mariel the Weaver (secondary quest), Market Cooks, Ruined Watcher",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #21,"Fusion of Glyph of Worn Cloth, Glyph of Shared Feast, and Glyph of Quiet Collapse. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Play, reunion, creative spark; Memory distortion, fear, the fracture. NPCs involved: Mariel the Weaver (secondary quest), Market Cooks, Ruined Watcher."
Transcendence,22,"Unity, transformation, resolution","Desert Elder, Drossel the Cloaked, Community Storyteller",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #22,"Fusion of Glyph of Echoed Breath, Glyph of Masked Boundary, and Glyph of Steadfast Witness. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Boundaries, choice, clarity; Touch, silence, witness. NPCs involved: Desert Elder, Drossel the Cloaked, Community Storyteller."
Transcendence,23,"Unity, transformation, resolution","Nima, Ravi, Korrin the Gossip",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #23,"Fusion of Glyph of Sorrow, Glyph of Remembrance, and Glyph of Whispered Pact. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Loss, grief, betrayal; Touch, silence, witness; Community, restoration, interdependence. NPCs involved: Nima, Ravi, Korrin the Gossip."
Transcendence,24,"Unity, transformation, resolution","Archivist Malrik, Ferry Operator & Dock Worker, Kaelen the Suspected Thief",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #24,"Fusion of Glyph of Boundary Stone, Glyph of Mutual Passage, and Glyph of Stolen Memory. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Boundaries, choice, clarity; Community, restoration, interdependence; Memory distortion, fear, the fracture. NPCs involved: Archivist Malrik, Ferry Operator & Dock Worker, Kaelen the Suspected Thief."
Transcendence,25,"Unity, transformation, resolution","Mourning Singer (secondary arc), Clay Hermit, High Seer Elenya",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #25,"Fusion of Glyph of Returning Song, Glyph of Broken Vessel, and Glyph of Covenant Flame. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Loss, grief, betrayal; Community, restoration, interdependence. NPCs involved: Mourning Singer (secondary arc), Clay Hermit, High Seer Elenya."
Transcendence,26,"Unity, transformation, resolution","Desert Elder, Nima, High Seer Elenya",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #26,"Fusion of Glyph of Echoed Breath, Glyph of Sorrow, and Glyph of Veiled Silence. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Loss, grief, betrayal; Touch, silence, witness. NPCs involved: Desert Elder, Nima, High Seer Elenya."
Transcendence,27,"Unity, transformation, resolution","Mask-Maker, Tovren the Cartwright, Korrin the Gossip",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #27,"Fusion of Glyph of Hidden Ache, Glyph of Shared Burden, and Glyph of Fractured Rumor. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Loss, grief, betrayal; Community, restoration, interdependence; Memory distortion, fear, the fracture. NPCs involved: Mask-Maker, Tovren the Cartwright, Korrin the Gossip."
Transcendence,28,"Unity, transformation, resolution","Ravi, Nima, Mariel the Weaver, High Seer Elenya",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #28,"Fusion of Glyph of Legacy, Glyph of Sewn Ache, and Glyph of Blooming Path. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Loss, grief, betrayal; Play, reunion, creative spark. NPCs involved: Ravi, Nima, Mariel the Weaver, High Seer Elenya."
Transcendence,29,"Unity, transformation, resolution","Mariel the Weaver, Mediator, Korrin the Gossip",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #29,"Fusion of Glyph of Sewn Ache, Glyph of Held Ache, and Glyph of Listening Silence. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Loss, grief, betrayal; Boundaries, choice, clarity; Touch, silence, witness. NPCs involved: Mariel the Weaver, Mediator, Korrin the Gossip."
Transcendence,30,"Unity, transformation, resolution","Mourning Singer, Drossel the Cloaked, Sera the Herb Novice",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #30,"Fusion of Glyph of Primal Oblivion, Glyph of Masked Boundary, and Glyph of Laughter's Balm. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Loss, grief, betrayal; Boundaries, choice, clarity; Play, reunion, creative spark. NPCs involved: Mourning Singer, Drossel the Cloaked, Sera the Herb Novice."
Transcendence,101,"Unity, transformation, resolution","Archivist Malrik, Silent Elder, Trial Warden, Drossel the Cloaked, Skilled Boatmaker, Tovren the Cartwright, Korrin the Gossip, Shrine Mason",Octoglyph of Resonant Paths #1,Procedural Octoglyph Chamber #1,"Fusion of: Glyph of Ancestral Record, Glyph of Silent Ache, Glyph of Interruptive Restraint, Glyph of Serpent?s Silence, Glyph of Crafted Wonder, Glyph of Shared Burden, Glyph of Fractured Rumor, Glyph of Shared Weight. This sentinel tests the player's integrated mastery of Legacy, Ache, Sovereignty, Presence, Joy, Trust, Collapse. NPCs: Archivist Malrik, Silent Elder, Trial Warden, Drossel the Cloaked, Skilled Boatmaker, Tovren the Cartwright, Korrin the Gossip, Shrine Mason."
Transcendence,102,"Unity, transformation, resolution","Bone Keeper, Mask-Maker, Archivist Malrik, High Seer Elenya, Market Cooks, Tovren the Cartwright, Korrin the Gossip, Korrin the Gossip",Octoglyph of Resonant Paths #2,Procedural Octoglyph Chamber #2,"Fusion of: Glyph of Covenant Bone, Glyph of Hidden Ache, Glyph of Boundary Stone, Glyph of Veiled Silence, Glyph of Shared Feast, Glyph of Shared Burden, Glyph of Fractured Rumor, Glyph of Fractured Rumor. This sentinel tests the player's integrated mastery of Legacy, Ache, Sovereignty, Presence, Joy, Trust, Collapse. NPCs: Bone Keeper, Mask-Maker, Archivist Malrik, High Seer Elenya, Market Cooks, Tovren the Cartwright, Korrin the Gossip, Korrin the Gossip."
Transcendence,103,"Unity, transformation, resolution","Street Performer, Mask-Maker, Dalen the Rusted Guide, Shrine Healer, High Seer Elenya, High Seer Elenya, Kaelen the Suspected Thief, Captain Veynar",Octoglyph of Resonant Paths #3,Procedural Octoglyph Chamber #3,"Fusion of: Glyph of Hopeful Transmission, Glyph of Hidden Ache, Glyph of Reckless Trial, Glyph of Tender Witness, Glyph of Sky Revelry, Glyph of Shared Survival, Glyph of Stolen Memory, Glyph of Fractured Oath. This sentinel tests the player's integrated mastery of Legacy, Ache, Sovereignty, Presence, Joy, Trust, Collapse. NPCs: Street Performer, Mask-Maker, Dalen the Rusted Guide, Shrine Healer, High Seer Elenya, High Seer Elenya, Kaelen the Suspected Thief, Captain Veynar."
Transcendence,104,"Unity, transformation, resolution","Desert Elder, Saori, Archivist Malrik, Community Storyteller, High Seer Elenya, High Seer Elenya, Drossel the Cloaked, Archivist Malrik",Octoglyph of Resonant Paths #4,Procedural Octoglyph Chamber #4,"Fusion of: Glyph of Echoed Breath, Glyph of Infrasensory Oblivion, Glyph of Boundary Stone, Glyph of Steadfast Witness, Glyph of Blooming Path, Glyph of Shared Survival, Glyph of Cloaked Fracture, Glyph of Fractured Memory. This sentinel tests the player's integrated mastery of Legacy, Ache, Sovereignty, Presence, Joy, Trust, Collapse. NPCs: Desert Elder, Saori, Archivist Malrik, Community Storyteller, High Seer Elenya, High Seer Elenya, Drossel the Cloaked, Archivist Malrik."
Transcendence,105,"Unity, transformation, resolution","Bone Keeper, Archivist of Lineage, Archivist Malrik, Shrine Healer, Skilled Boatmaker, Tovren the Cartwright, Captain Veynar, Sea Merchants",Octoglyph of Resonant Paths #5,Procedural Octoglyph Chamber #5,"Fusion of: Glyph of Covenant Bone, Glyph of Dislocated Attachment, Glyph of Measured Step, Glyph of Tender Witness, Glyph of Crafted Wonder, Glyph of Shared Burden, Glyph of Fractured Oath, Glyph of Trade Celebration. This sentinel tests the player's integrated mastery of Legacy, Ache, Sovereignty, Presence, Joy, Trust, Collapse. NPCs: Bone Keeper, Archivist of Lineage, Archivist Malrik, Shrine Healer, Skilled Boatmaker, Tovren the Cartwright, Captain Veynar, Sea Merchants."
Transcendence,106,"Unity, transformation, resolution","Archivist Malrik, Nima, Drossel the Cloaked, Sera the Herb Novice, Sera the Herb Novice, Korrin the Gossip, Kaelen the Suspected Thief, Glyph Console Worshipper",Octoglyph of Resonant Paths #6,Procedural Octoglyph Chamber #6,"Fusion of: Glyph of Sand Memories, Glyph of Sorrow, Glyph of Masked Boundary, Glyph of Fragrant Silence, Glyph of Laughter's Balm, Glyph of Whispered Pact, Glyph of Stolen Memory, Glyph of Echo Communion. This sentinel tests the player's integrated mastery of Legacy, Ache, Sovereignty, Presence, Joy, Trust, Collapse. NPCs: Archivist Malrik, Nima, Drossel the Cloaked, Sera the Herb Novice, Sera the Herb Novice, Korrin the Gossip, Kaelen the Suspected Thief, Glyph Console Worshipper."
Transcendence,107,"Unity, transformation, resolution","Shrine Elder, Mourning Singer, Archivist Malrik, Sera the Herb Novice, High Seer Elenya, Kaelen the Suspected Thief, Cult Adjudicator, Skilled Boatmaker",Octoglyph of Resonant Paths #7,Procedural Octoglyph Chamber #7,"Fusion of: Glyph of Emotional Inheritance, Glyph of Primal Oblivion, Glyph of Boundary Stone, Glyph of Fragrant Silence, Glyph of Blooming Path, Glyth of Thieves' Honor, Glyph of Preemptive Severance, Glyph of Crafted Wonder. This sentinel tests the player's integrated mastery of Legacy, Ache, Sovereignty, Presence, Joy, Trust, Collapse. NPCs: Shrine Elder, Mourning Singer, Archivist Malrik, Sera the Herb Novice, High Seer Elenya, Kaelen the Suspected Thief, Cult Adjudicator, Skilled Boatmaker."
Transcendence,108,"Unity, transformation, resolution","Desert Elder, Mask-Maker, Archivist Malrik, The Desert Listener, High Seer Elenya, High Seer Elenya, Dalen the Rusted Guide, Street Performer",Octoglyph of Resonant Paths #8,Procedural Octoglyph Chamber #8,"Fusion of: Glyph of Echoed Breath, Glyph of Hidden Ache, Glyph of Boundary Stone, Glyph of Sensory Oblivion, Glyph of Blooming Path, Glyph of Covenant Flame, Glyph of Shattered Corridor, Glyph of Hopeful Transmission. This sentinel tests the player's integrated mastery of Legacy, Ache, Sovereignty, Presence, Joy, Trust, Collapse. NPCs: Desert Elder, Mask-Maker, Archivist Malrik, The Desert Listener, High Seer Elenya, High Seer Elenya, Dalen the Rusted Guide, Street Performer."
